Date,Open,High,Low,Close,Volume,InterestRate,ExchangeRate,VIX,TEDSpread,EFFR,Gold,Oil
2010-01-04,6.639999866485596,6.809999942779541,6.633333206176758,6.74666690826416,6514500.0,0.11,1.4419,20.04,0.17,0.12,1117.699951171875,81.51000213623047
2010-01-05,6.6433329582214355,6.7733330726623535,6.6433329582214355,6.766666889190674,4445100.0,0.11,1.4402,19.35,0.18,0.12,1118.0999755859375,81.7699966430664
2010-01-06,6.733333110809326,6.7866668701171875,6.71999979019165,6.763332843780518,7340100.0,0.11,1.4404,19.16,0.19,0.12,1135.9000244140625,83.18000030517578
2010-01-07,6.75,6.766666889190674,6.630000114440918,6.673333168029785,8498400.0,0.11,1.4314,19.06,0.2,0.1,1133.0999755859375,82.66000366210938
2010-01-08,6.676667213439941,6.766666889190674,6.626667022705078,6.743332862854004,4347600.0,0.11,1.4357,18.13,0.2,0.11,1138.199951171875,82.75
2010-01-11,6.74666690826416,6.800000190734863,6.699999809265137,6.760000228881836,5364300.0,0.11,1.4536,17.55,0.21,0.11,1150.699951171875,82.5199966430664
2010-01-12,6.71999979019165,6.766666889190674,6.6066670417785645,6.6433329582214355,5198400.0,0.11,1.4523,18.25,0.2,0.11,1128.9000244140625,80.79000091552734
2010-01-13,6.616666793823242,6.716667175292969,6.5833330154418945,6.706666946411133,6831900.0,0.11,1.4492,17.85,0.19,0.11,1136.4000244140625,79.6500015258789
2010-01-14,6.673333168029785,6.763332843780518,6.6433329582214355,6.75,4493700.0,0.11,1.4478,17.63,0.2,0.11,1142.5999755859375,79.38999938964844
2010-01-15,6.739999771118164,6.800000190734863,6.676667213439941,6.71999979019165,6981900.0,0.11,1.4376,17.91,0.19,0.12,1130.0999755859375,78.0
2010-01-18,6.739999771118164,6.800000190734863,6.676667213439941,6.71999979019165,6981900.0,0.11,1.4376,17.91,0.19,0.12,1130.0999755859375,78.0
2010-01-19,6.71999979019165,6.74666690826416,6.679999828338623,6.710000038146973,3156900.0,0.11,1.4269,17.58,0.19,0.13,1139.699951171875,79.0199966430664
2010-01-20,6.673333168029785,6.699999809265137,6.563333034515381,6.6433329582214355,5761500.0,0.11,1.4094,18.68,0.2,0.13,1112.300048828125,77.62000274658203
2010-01-21,6.663332939147949,6.663332939147949,6.300000190734863,6.323332786560059,13422900.0,0.11,1.4106,22.27,0.19,0.12,1102.699951171875,76.08000183105469
2010-01-22,6.303332805633545,6.343332767486572,6.093332767486572,6.113333225250244,11661000.0,0.11,1.4154,27.31,0.19,0.11,1089.199951171875,74.54000091552734
2010-01-25,6.196667194366455,6.196667194366455,6.0833330154418945,6.116666793823242,7927800.0,0.11,1.4146,25.41,0.19,0.12,1095.199951171875,75.26000213623047
2010-01-26,6.050000190734863,6.1433329582214355,6.033332824707031,6.033332824707031,7707900.0,0.11,1.4063,24.55,0.18,0.12,1097.9000244140625,74.70999908447266
2010-01-27,6.039999961853027,6.139999866485596,6.03000020980835,6.116666793823242,9267300.0,0.11,1.4053,23.14,0.17,0.12,1084.4000244140625,73.66999816894531
2010-01-28,6.136666774749756,6.183332920074463,6.043333053588867,6.079999923706055,5370300.0,0.11,1.3993,23.73,0.17,0.12,1083.5999755859375,73.63999938964844
2010-01-29,6.090000152587891,6.156667232513428,5.99666690826416,5.99666690826416,9038700.0,0.11,1.387,24.62,0.17,0.12,1083.0,72.88999938964844
2010-02-01,6.050000190734863,6.199999809265137,6.016666889190674,6.139999866485596,12008700.0,0.13,1.3904,22.59,0.15,0.14,1104.300048828125,74.43000030517578
